1;INSOLVENTE;BANKRUPCY;false
2;OBSOLETO;OBSOLETO;false
3;CAMBIO RAZON SOCIAL;CAMBIO RAZON SOCIAL;true
4;BLOQUEADO RGPD-LOPD;RGPD-LOPD BLOCKED;true
