05;ML;Metro lineal;Lineal meter;ML;LM;3;2;0;1;0
03;M3;Metro cúbico;Cubic meter;M3;M3;3;1;0;0;0
02;m2;Metro cuadrado;Square meter;M2;M2;3;0;0;0;0
01;UD;Unidad;Unit;Ud.;Un.;3;3;0;0;0
