3661;MERRILL LYNCH CAPITAL MARKETS ESPAÑA, S.;MLCEESMMXXX
0169;BANCO DE LA NACION ARGENTINA, SUCURSAL E;NACNESMMXXX
1479;NATIXIS, S.A., SUCURSAL EN ESPAÑA.;NATXESMMXXX
0144;BNP PARIBAS SECURITIES SERVICES, SUCURSA;PARBESMHXXX
0216;TARGOBANK, S.A.;POHIESMM
0233;POPULAR BANCA PRIVADA, S.A.;POPIESMMXXX
0229;BANCO POPULAR-E, S.A.;POPLESMMXXX
0075;BANCO POPULAR ESPAÑOL, S.A.;POPUESMMXXX
1459;COOP. CENTR. RAIFFEISEN-BOERENL. (RABOBA;PRABESMMXXX
0211;EBN BANCO DE NEGOCIOS, S.A.;PROAESMMXXX
0083;RENTA 4 BANCO, S.A.;RENBESMMXXX
3501;RENTA 4 SOCIEDAD DE VALORES, S.A.;RENTESMMXXX
0108;SOCIETE GENERALE, SUCURSAL EN ESPAÑA.;SOGEESMMAGM
1524;UBI BANCA INTERNATIONAL, S.A., SUCURSAL;UBIBESMMXXX
0226;UBS BANK, S.A.;UBSWESMMNPB
2103;UNICAJA BANCO, S.A.;UCJAES2MXXX
0093;BANCO DE VALENCIA, S.A.;VALEESVVXXX
0196;PORTIGON AG, SUCURSAL EN ESPAÑA;WELAESMMFUN
9091;SDAD. RECTORA BOLSA VALORES DE BARCELONA;XBCNESBBXXX
9092;SDAD. RECTORA BOLSA DE VALORES DE BILBAO;XRBVES2BXXX
9093;SDAD. RECTORA BOLSA VALORES DE VALENCIA,;XRVVESVVXXX
