1400;PROV. RETRIBUCIONES L/P AL PER;PROV. RETRIBUCIONES L/P AL PERSONAL;4
141;PROVISION PARA IMPUESTOS;PROVISION PARA IMPUESTOS;3
1410;PROVISION PARA IMPUESTOS;PROVISION PARA IMPUESTOS;4
142;PROVISION PARA OTRAS RESPONSAB;PROVISION PARA OTRAS RESPONSABILIDADES;3
1420;PROVISION PARA OTRAS RESPONSAB;PROVISION PARA OTRAS RESPONSABILIDADES;4
143;POR DESMANT, RETIRO O REHABILI;POR DESMANT, RETIRO O REHABILITACION DE INMOVILIZ.;3
1430;POR DESMANT, RETIRO O REHABILI;POR DESMANT, RETIRO O REHABILITACION DE INMOVILIZ.;4
145;PROV. ACTUACIONES MEDIOAMBIENT;PROV. ACTUACIONES MEDIOAMBIENTALES;3
146;PROV. PARA REESTRUCTURACIONES;PROV. PARA REESTRUCTURACIONES;3
147;TRANSACC. CON PAGOS BAS. EN IN;TRANSACC. CON PAGOS BAS. EN INSTRUM.DE PATRIMONIO;3
15;DEUDAS L/P CON CARACTERISTICAS;DEUDAS L/P CON CARACTERISTICAS ESPECIALES;2
150;ACC. O PARTIC. L/P CONSID. COM;ACC. O PARTIC. L/P CONSID. COMO PASIVOS FINANC.;3
153;DESEMB.NO EXIG.X ACC.O PART. C;DESEMB.NO EXIG.X ACC.O PART. CONSID. COMO PASIVO;3
1533;DESEMB.NO EXIGIDOS EMP. DEL GR;DESEMB.NO EXIGIDOS EMP. DEL GRUPO;4
1534;DESEMB.NO EXIG. EMP. ASOCIADAS;DESEMB.NO EXIG. EMP. ASOCIADAS;4
1535;DESEMB.NO EXIG. OTRAS PARTES V;DESEMB.NO EXIG. OTRAS PARTES VINCULANTES;4
1536;OTROS DESEMBOLSOS NO EXIGIDOS;OTROS DESEMBOLSOS NO EXIGIDOS;4
154;APORT.NO DINER. PEND.POR ACC.O;APORT.NO DINER. PEND.POR ACC.O PART.CONSID.PASIVO;3
1543;APORT. NO DINERARIAS PEND.EMP;APORT. NO DINERARIAS PEND.EMP DEL GRUPO;4
1544;APORT. NO DINERARIAS PEND.EMP;APORT. NO DINERARIAS PEND.EMP ASOCIADAS;4
1545;APORT. NO DINERARIAS PEND. OTR;APORT. NO DINERARIAS PEND. OTR. PARTES VINCUL.;4
1546;OTR. APORT. NO DINERARIAS PEND;OTR. APORT. NO DINERARIAS PEND.;4
16;DEUDAS L/P CON PARTES VINCULAD;DEUDAS L/P CON PARTES VINCULADAS;2
160;DEUDAS L/P CON ENTIDADES CREDI;DEUDAS L/P CON ENTIDADES CREDITO VINC.;3
1603;DEUDAS L/P ENT.CDTO.GRUPO;DEUDAS L/P ENT.CDTO.GRUPO;4
1604;DEUDAS L/P ENT.CDTO.ASOCIADAS;DEUDAS L/P ENT.CDTO.ASOCIADAS;4
1605;DEUDAS L.P. OTRAS ENT.CDTO. VI;DEUDAS L.P. OTRAS ENT.CDTO. VINCULADAS;4
161;PROVEEDORES INMOV. L/P, PARTES;PROVEEDORES INMOV. L/P, PARTES VINCULADAS;3
1613;PROVEEDOR INMOV. L/P EMP.GRUPO;PROVEEDOR INMOV. L/P EMP.GRUPO;4
1614;PROVEEDOR INMOV. L/P EMP.ASOCI;PROVEEDOR INMOV. L/P EMP.ASOCIADAS;4
1615;PROVEEDOR INMOV. L/P OTR. PART;PROVEEDOR INMOV. L/P OTR. PARTES VINCULADAS;4
162;ACREEDORES POR ARREND. FINANC.;ACREEDORES POR ARREND. FINANC. L/P,PARTES VINCUL.;3
1623;ACREEDORES POR ARREND. FINANC.;ACREEDORES POR ARREND. FINANC. L/P,EMP.GRUPO;4
1624;ACREEDORES POR ARREND. FINANC.;ACREEDORES POR ARREND. FINANC. L/P,EMP.ASOCIADAS;4
1625;ACREEDORES POR ARREND. FINANC.;ACREEDORES POR ARREND. FINANC.L/P,OT.PARTE VINC.;4
163;OTR. DEUDAS L/P CON PARTES VIN;OTR. DEUDAS L/P CON PARTES VINCULADAS;3
1633;OTR. DEUDAS L/P EMPRESAS DEL G;OTR. DEUDAS L/P EMPRESAS DEL GRUPO;4
1634;OTR. DEUDAS L/P EMPRESAS ASOCI;OTR. DEUDAS L/P EMPRESAS ASOCIADAS;4
1635;OTR. DEUDAS L/P CON OTRAS PART;OTR. DEUDAS L/P CON OTRAS PARTES VINCULADAS;4
17;DEUDAS L/P PRESTAMOS, EMPRESTI;DEUDAS L/P PRESTAMOS, EMPRESTITOS Y OTROS;2
170;DEUDA L/P CON ENT.DE CRDTO;DEUDA L/P CON ENT.DE CRDTO;3
171;DEUDAS A LARGO PLAZO;DEUDAS A LARGO PLAZO;3
1710;DEUDAS A LARGO PLAZO;DEUDAS A LARGO PLAZO;4
172;DEUDAS L/P TRANSF.SUBVENC., DO;DEUDAS L/P TRANSF.SUBVENC., DONACIONES Y LEGADOS;3
1720;DEUDAS L/P TRANSF.SUBVENC., DO;DEUDAS L/P TRANSF.SUBVENC., DONACIONES Y LEGADOS;4
173;PROVEEDORES DE INMOV.L/P;PROVEEDORES DE INMOV.L/P;3
1730;PROVEEDORES DE INMOV.L/P;PROVEEDORES DE INMOV.L/P;4
174;ACREEDORES POR ARRENDAMIENTO F;ACREEDORES POR ARRENDAMIENTO FINANCIERO L/P;3
175;EFECTOS A PAGAR A L/P;EFECTOS A PAGAR A L/P;3
1750;EFECTOS A PAGAR A L/P;EFECTOS A PAGAR A L/P;4
176;PASIVOS POR DERIVAD. FINANC. L;PASIVOS POR DERIVAD. FINANC. L/P;3
1765;PASIVOS POR DERIVAD. FINANC.L/;PASIVOS POR DERIVAD. FINANC.L/P CART. NEGOCIACION;4
1768;PASIVOS POR DERIVAD.FINANC.L/P;PASIVOS POR DERIVAD.FINANC.L/P INSTRUM. COBERTURA;4
177;OBLIGACIONES Y BONOS;OBLIGACIONES Y BONOS;3
1770;OBLIGACIONES Y BONOS;OBLIGACIONES Y BONOS;4
178;OBLIGA.BONOS CONVERTIBLES;OBLIGA.BONOS CONVERTIBLES;3
1780;OBLIGA.BONOS CONVERTIBLES;OBLIGA.BONOS CONVERTIBLES;4
179;DEUDAS REPRESENTADAS EN OTROS;DEUDAS REPRESENTADAS EN OTROS VAL.NEGOCIABLES;3
1790;DEUDAS REPRESENTADAS EN OTROS;DEUDAS REPRESENTADAS EN OTROS VAL.NEGOCIABLES;4
18;PASIVOS POR FIANZAS Y GARANTIA;PASIVOS POR FIANZAS Y GARANTIAS L/P;2
180;FIANZAS RECIBIDAS A L/P;FIANZAS RECIBIDAS A L/P;3
1800;FIANZAS RECIBIDAS A L/P;FIANZAS RECIBIDAS A L/P;4
181;ANTICIPOS RECIBIDOS POR VENTAS;ANTICIPOS RECIBIDOS POR VENTAS O PREST. SERV. L/P;3
185;DEPOSITOS RECIBIDOS A L/P;DEPOSITOS RECIBIDOS A L/P;3
1850;DEPOSITOS RECIBIDOS A L/P;DEPOSITOS RECIBIDOS A L/P;4
189;GARANTIAS FINANCIERAS L/P;GARANTIAS FINANCIERAS L/P;3
19;SITUACIONES TRANSITORIAS DE FI;SITUACIONES TRANSITORIAS DE FINANCIACION;2
190;ACCIONES O PARTICIPACIONES EMI;ACCIONES O PARTICIPACIONES EMITIDAS;3
192;SUSCRIPTORES DE ACCIONES;SUSCRIPTORES DE ACCIONES;3
194;CAPITAL EMITIDO PENDIENTE DE I;CAPITAL EMITIDO PENDIENTE DE INSCRIPCION;3
195;ACCIONES O PARTIC. EMITIDAS CO;ACCIONES O PARTIC. EMITIDAS COMO PASIVO FINANC.;3
197;SUSCRIPTORES ACCIONES CONSID.;SUSCRIPTORES ACCIONES CONSID. COMO PASIVO FINANC.;3
199;ACC.O PARTIC.EMIT. COMO PASIVO;ACC.O PARTIC.EMIT. COMO PASIVO FINANC.PEND.INSCRIP;3
2;ACTIVO NO CORRIENTE;ACTIVO NO CORRIENTE;1
20;INMOVILIZACIONES INTANGIBLES;INMOVILIZACIONES INTANGIBLES;2
200;GASTOS INVESTIGACION;GASTOS INVESTIGACION;3
201;DESARROLLO;DESARROLLO;3
202;CONCESIONES ADMINISTRATIVAS;CONCESIONES ADMINISTRATIVAS;3
2020;CONCESIONES ADMINISTRATIVAS;CONCESIONES ADMINISTRATIVAS;4
203;PROPIEDAD INDUSTRIAL;PROPIEDAD INDUSTRIAL;3
2030;PROPIEDAD INDUSTRIAL;PROPIEDAD INDUSTRIAL;4
204;FONDO DE COMERCIO;FONDO DE COMERCIO;3
2040;FONDO DE COMERCIO;FONDO DE COMERCIO;4
205;DERECHOS DE TRASPASO;DERECHOS DE TRASPASO;3
2050;DERECHOS DE TRASPASO;DERECHOS DE TRASPASO;4
206;APLICACIONES INFORMATICAS;APLICACIONES INFORMATICAS;3
2060;APLICACIONES INFORMATICAS;APLICACIONES INFORMATICAS;4
209;ANTICIPO INMOV.INTANGIBLE;ANTICIPO INMOV.INTANGIBLE;3
2090;ANTICIPO INMOV.INTANGIBLE;ANTICIPO INMOV.INTANGIBLE;4
21;INMOVILIZACIONES MATERIALES;INMOVILIZACIONES MATERIALES;2
210;TERRENOS Y BIENES NATURAL;TERRENOS Y BIENES NATURAL;3
2100;TERRENOS Y BIENES NATURAL;TERRENOS Y BIENES NATURAL;4
21000000;TERRENOS Y BIENES NATURAL;TERRENOS Y BIENES NATURAL;0
211;CONSTRUCCIONES;CONSTRUCCIONES;3
2110;CONSTRUCCIONES;CONSTRUCCIONES;4
21100001;NAVES FACTORIA;NAVES FACTORIA;0
212;INSTALACIONES TECNICAS;INSTALACIONES TECNICAS;3
2120;INSTALACIONES TECNICAS;INSTALACIONES TECNICAS;4
213;MAQUINARIA;MAQUINARIA;3
2130;MAQUINARIA;MAQUINARIA;4
21300001;MAQUINA Nº,1;MAQUINA Nº,1;0
214;UTILLAJE;UTILLAJE;3
2140;UTILLAJE;UTILLAJE;4
215;OTRAS INSTALACIONES;OTRAS INSTALACIONES;3
2150;OTRAS INSTALACIONES;OTRAS INSTALACIONES;4
216;MOBILIARIO;MOBILIARIO;3
2160;MOBILIARIO;MOBILIARIO;4
217;EQUIPOS PROCESO INFORMACION;EQUIPOS PROCESO INFORMACION;3
2170;EQUIPOS PROCESO INFORMACION;EQUIPOS PROCESO INFORMACION;4
21700001;ORDENADOR XXX.MOD.AAA;ORDENADOR XXX.MOD.AAA;0
218;ELEMENTOS DE TRANSPORTE;ELEMENTOS DE TRANSPORTE;3
2180;ELEMENTOS DE TRANSPORTE;ELEMENTOS DE TRANSPORTE;4
21800001;VEHICULO N.1;VEHICULO N.1;0
219;OTRO INMOVILIZADO MATERIAL;OTRO INMOVILIZADO MATERIAL;3
2190;OTRO INMOVILIZADO MATERIAL;OTRO INMOVILIZADO MATERIAL;4
22;INVERSIONES INMOBILIARIAS;INVERSIONES INMOBILIARIAS;2
220;INVERSIONES EN TERRENOS Y BIEN;INVERSIONES EN TERRENOS Y BIENES NATURALES;3
221;INVERSIONES EN CONSTRUCCIONES;INVERSIONES EN CONSTRUCCIONES;3
23;INMOVILIZACIONES MATERIALES EN;INMOVILIZACIONES MATERIALES EN CURSO;2
230;ADAPTACION TERRENOS Y BIENES N;ADAPTACION TERRENOS Y BIENES NATURALES;3
2300;ADAPTACION TERRENOS Y BIENES N;ADAPTACION TERRENOS Y BIENES NATURALES;4
231;CONSTRUCCIONES EN CURSO;CONSTRUCCIONES EN CURSO;3
2310;CONSTRUCCIONES EN CURSO;CONSTRUCCIONES EN CURSO;4
232;INSTALACIONES TECNICAS EN MONT;INSTALACIONES TECNICAS EN MONTAJE;3
2320;INSTALACIONES TECNICAS EN MONT;INSTALACIONES TECNICAS EN MONTAJE;4
233;MAQUINARIA EN MONTAJE;MAQUINARIA EN MONTAJE;3
2330;MAQUINARIA EN MONTAJE;MAQUINARIA EN MONTAJE;4
237;EQUIPOS PROCESOS INFORMACION E;EQUIPOS PROCESOS INFORMACION EN MONTAJE;3
2370;ORDENADORES EN MONTAJE;ORDENADORES EN MONTAJE;4
239;ANTCIPOS PARA INMOVILIZACIONES;ANTCIPOS PARA INMOVILIZACIONES MATERIALES;3
2390;ANTCIPOS PARA INMOVILIZACIONES;ANTCIPOS PARA INMOVILIZACIONES MATERIALES;4
24;INVERSIONES FINANCIERAS L/P EN;INVERSIONES FINANCIERAS L/P EN PARTES VINCULAS;2
240;PARTICIPACIONES L/P EN PARTES;PARTICIPACIONES L/P EN PARTES VINCULADAS;3
2403;PARTICIPACIONES L/P EMPRESAS G;PARTICIPACIONES L/P EMPRESAS GRUPO;4
2404;PARTICIPACIONES L/P EMPRESAS A;PARTICIPACIONES L/P EMPRESAS ASOCIADAS;4
2405;PARTICIPACIONES L/P EN OTRAS P;PARTICIPACIONES L/P EN OTRAS PARTES VINCULADAS;4
241;VALORES REPRES. DEUDA L/P PART;VALORES REPRES. DEUDA L/P PARTES VINCULADAS;3
2413;VALORES REPRES. DEUDA L/P EMP.;VALORES REPRES. DEUDA L/P EMP. GRUPO;4
2414;VALORES REPRES. DEUDA L/P EMP.;VALORES REPRES. DEUDA L/P EMP. ASOCIADAS;4
2415;VALORES REPRES. DEUDA L/P OTRA;VALORES REPRES. DEUDA L/P OTRAS PARTES VINC.;4
242;CREDITO L/P A PARTES VINCULADA;CREDITO L/P A PARTES VINCULADAS;3
2423;CREDITO L/P A EMPR.GRUPO;CREDITO L/P A EMPR.GRUPO;4
2424;CREDITO L/P A EMP.ASOCIADAS;CREDITO L/P A EMP.ASOCIADAS;4
2425;CREDITO L/P OTRAS PARTES VINCU;CREDITO L/P OTRAS PARTES VINCULADAS;4
249;DESEMBOLSOS PEND. PARTC. L/P P;DESEMBOLSOS PEND. PARTC. L/P PARTES VINC.;3
2493;DESEMBOLSOS PEND. PARTC. L/P E;DESEMBOLSOS PEND. PARTC. L/P EMP.GRUPO;4
2494;DESEMBOLSOS PEND. PARTC. L/P E;DESEMBOLSOS PEND. PARTC. L/P EMP.ASOCIADAS;4
2495;DESEMBOLSOS PEND.PARTC. L/P OT;DESEMBOLSOS PEND.PARTC. L/P OTR. PARTES VINCULADAS;4
25;OTRAS INVERSIONES FINANCIERAS;OTRAS INVERSIONES FINANCIERAS L/P;2
250;INVERSIONES FINANC. L/P EN INS;INVERSIONES FINANC. L/P EN INSTRUM. PATRIMONIO;3
251;VALORES REPRESENTATIVOS DE DEU;VALORES REPRESENTATIVOS DE DEUDA L/P;3
2510;VALORES REPRESENTATIVOS DE DEU;VALORES REPRESENTATIVOS DE DEUDA L/P;4
252;CREDITOS A LARGO PLAZO;CREDITOS A LARGO PLAZO;3
2520;CREDITOS A LARGO PLAZO;CREDITOS A LARGO PLAZO;4
253;CREDITOS L/P VENTA INMOVILIZAD;CREDITOS L/P VENTA INMOVILIZADO;3
2530;CREDITOS L/P VENTA INMOVILIZAD;CREDITOS L/P VENTA INMOVILIZADO;4
254;CREDITOS L/P AL PERSONAL;CREDITOS L/P AL PERSONAL;3
2540;CREDITOS L/P AL PERSONAL;CREDITOS L/P AL PERSONAL;4
255;ACTIVOS POR DERIVADOS FINANCIE;ACTIVOS POR DERIVADOS FINANCIEROS L/P;3
2550;CARTERA DE NEGOCIACION;CARTERA DE NEGOCIACION;4
2553;INSTRUMENTOS DE COBERTURA;INSTRUMENTOS DE COBERTURA;4
257;Dº REEMB.CONTRATOS SEG. RETRIB;Dº REEMB.CONTRATOS SEG. RETRIBUC. L/P AL PERSONAL;3
2570;Dº REEMB.CONTRATOS SEG. RETRIB;Dº REEMB.CONTRATOS SEG. RETRIBUC. L/P AL PERSONAL;4
258;IMPOSICIONES L/P;IMPOSICIONES L/P;3
2580;IMPOSICIONES L/P;IMPOSICIONES L/P;4
259;DESEM. PEND.PARTI.EN PATRIMONI;DESEM. PEND.PARTI.EN PATRIMONIO NETO L/P;3
2590;DESEM. PEND.PARTI.EN PATRIMONI;DESEM. PEND.PARTI.EN PATRIMONIO NETO L/P;4
26;FIANZAS Y DEPOSITOS CONSTITUID;FIANZAS Y DEPOSITOS CONSTITUIDOS A L/P;2
260;FIANZAS CONSTITUIDAS L/P;FIANZAS CONSTITUIDAS L/P;3
2600;FIANZAS CONSTITUIDAS L/P;FIANZAS CONSTITUIDAS L/P;4
265;DEPOSITOS CONSTITUIDOS L/P;DEPOSITOS CONSTITUIDOS L/P;3
2650;DEPOSITOS CONSTITUIDOS L/P;DEPOSITOS CONSTITUIDOS L/P;4
28;AMORTIZACION ACUMULADA INMOVIL;AMORTIZACION ACUMULADA INMOVILIZADO;2
280;AMORT.ACUMULADA INMOV.INTANGIB;AMORT.ACUMULADA INMOV.INTANGIBLE;3
2800;AMORT.ACUMULADA DE INVEST;AMORT.ACUMULADA DE INVESTIGACION;4
28000000;AMORT.ACUMULADA DE INVEST;AMORT.ACUMULADA DE INVEST;0
2801;AMORT.ACUMULADA DE DESARROLLO;AMORT.ACUMULADA DE DESARROLLO;4
2802;AMORT.ACUM.CONCESIONES ADMINIS;AMORT.ACUM.CONCESIONES ADMINISTRATIVAS;4
2803;AMORT.ACUM.PROPIEDAD INDUSTRIA;AMORT.ACUM.PROPIEDAD INDUSTRIAL;4
2805;AMORT. ACUM.DERECHOS DE TRASPA;AMORT. ACUM.DERECHOS DE TRASPASO;4
2806;AMORT. ACUM.APLICACIONES INFOR;AMORT. ACUM.APLICACIONES INFORMATICAS;4
281;AMORT. ACUMULADA INMOVILIZADO;AMORT. ACUMULADA INMOVILIZADO MATERIAL;3
2811;AMORT. ACUMULADA CONSTRUC;AMORT. ACUMULADA CONSTRUCCIONES;4
28110000;AMORT. ACUMULADA CONSTRUC;AMORT. ACUMULADA CONSTRUC;0
2812;AMORT. ACUMULADA INSTALACIONES;AMORT. ACUMULADA INSTALACIONES TECNICAS;4
2813;AMORT. ACUMULADA MAQUINARIA;AMORT. ACUMULADA MAQUINARIA;4
2814;AMORT. ACUMULADA UTILLAJE;AMORT. ACUMULADA UTILLAJE;4
2815;AMORT. ACUMULADA OTRAS INSTAL.;AMORT. ACUMULADA OTRAS INSTAL.;4
2816;AMORT. ACUMULADA MOBILIARIO;AMORT. ACUMULADA MOBILIARIO;4
2817;AMORT. ACUMULADA EQUIPOS PROCE;AMORT. ACUMULADA EQUIPOS PROCESOS INFORM.;4
2818;AMORT. ACUMULADA ELEM.TRANSPOR;AMORT. ACUMULADA ELEM.TRANSPORTE;4
2819;AMORT. ACUMULADA OTRO INMOVILI;AMORT. ACUMULADA OTRO INMOVILIZADO MATERIAL;4
282;AMORT.ACUMULADA INVERSIONES IN;AMORT.ACUMULADA INVERSIONES INMOBILIARIAS;3
29;DETERIORO VALOR ACTIVOS NO COR;DETERIORO VALOR ACTIVOS NO CORRIENTES;2
290;DETERIORO VALOR INMOV.INTANGIB;DETERIORO VALOR INMOV.INTANGIBLE;3
2900;DETERIORO GTOS.INVESTIGACION;DETERIORO GTOS.INVESTIGACION;4
2901;DETERIORO DEL VALOR DE DESARRO;DETERIORO DEL VALOR DE DESARROLLO;4
2902;DETERIORO CONCESIONES ADMINIST;DETERIORO CONCESIONES ADMINISTRATIVAS;4
2903;DETERIORO PROPIEDAD INDUSTRIAL;DETERIORO PROPIEDAD INDUSTRIAL;4
2905;DETERIORO Dº TRASPASO;DETERIORO Dº TRASPASO;4
2906;DETERIORO APLICACIONES INFORMA;DETERIORO APLICACIONES INFORMATICAS;4
291;DETERIORO DEL VALOR INMOVILIZA;DETERIORO DEL VALOR INMOVILIZADO MATERIAL;3
2910;DETER. VALOR TERRENOS Y BIENES;DETER. VALOR TERRENOS Y BIENES NATURALES;4
2911;DETERIORO VALOR DE CONSTRUCCIO;DETERIORO VALOR DE CONSTRUCCIONES;4
2912;DETERIORO INSTALACIONES TECNIC;DETERIORO INSTALACIONES TECNICAS;4
2913;DETERIORO VALOR MAQUINARIA;DETERIORO VALOR MAQUINARIA;4
2914;DETERIORO VALOR UTILLAJE;DETERIORO VALOR UTILLAJE;4
2915;DETERIORO VALOR OTRAS INSTAL.T;DETERIORO VALOR OTRAS INSTAL.TECNICAS;4
2916;DETERIORO VALOR MOBILIARIO;DETERIORO VALOR MOBILIARIO;4
2917;DETERIORO VALOR EQUIPOS PROCES;DETERIORO VALOR EQUIPOS PROCESOS INFORMACION;4
2918;DETERIORO VALOR ELEM.TRANSPORT;DETERIORO VALOR ELEM.TRANSPORTE;4
2919;DETER. VALOR OTRO INMOVILIZADO;DETER. VALOR OTRO INMOVILIZADO MATERIAL;4
292;DETERIORO VALOR INVERSIONES IN;DETERIORO VALOR INVERSIONES INMOBILIARIAS;3
2920;DETERIORO VALOR TERRENOS Y BIE;DETERIORO VALOR TERRENOS Y BIENES NATURALES;4
2921;DETERIORO VALOR CONSTRUCCIONES;DETERIORO VALOR CONSTRUCCIONES;4
293;DET. VALOR PARTICIPACIONES L/P;DET. VALOR PARTICIPACIONES L/P PARTES VINCULADAS;3
2933;DET. VALOR PARTICIPACIONES L/P;DET. VALOR PARTICIPACIONES L/P EMP.GRUP.;4
